问题id,问题,SQL,SQL结果,预测SQL,SQL正确,预测SQL结果,结果正确
734,请问在非银金融行业，20190603行业的A股公司有多少?,"SELECT COUNT(DISTINCT(股票代码)) AS 数量
FROM A股公司行业划分表
WHERE 一级行业名称 = '非银金融'
AND 交易日期 = '20190603'
LIMIT 1;",[{'数量': 80}],"SELECT COUNT(DISTINCT(股票代码)) AS 数量
FROM A股公司行业划分表
WHERE 一级行业名称 = '非银金融'
AND 交易日期 = '20190603'
LIMIT 1;",True,[{'数量': 80}],True
736,查询下基金代码007059的基金，它的管理费率是？,"SELECT 管理费率
FROM 基金基本信息
WHERE 基金代码 = '007059'
LIMIT 1;",[{'管理费率': '0.8%'}],"SELECT 管理费率
FROM 基金基本信息
WHERE 基金代码 = '007059'
LIMIT 1;",True,[{'管理费率': '0.8%'}],True
738,"请帮我查询下在2019年, 山西证券股份有限公司管理的债券型基金中，持有过公司债券的基金有多少只？","SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '山西证券股份有限公司'
)
AND 持仓日期 LIKE '2019%'
AND 债券类型 = '公司债券'
LIMIT 1;",[{'数量': 5}],"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '山西证券股份有限公司'
)
AND 持仓日期 LIKE '2019%'
AND 债券类型 = '公司债券'
LIMIT 1;",True,[{'数量': 5}],True
739,我想知道建信基金管理有限责任公司在2020年成立了多少只管理费率小于0.8%的基金？,"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '建信基金管理有限责任公司'
AND 成立日期 LIKE '2020%'
AND 管理费率 < '0.8%'
LIMIT 1;",[{'数量': 17}],"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '建信基金管理有限责任公司'
AND 成立日期 LIKE '2020%'
AND 管理费率 < '0.8%'
LIMIT 1;",True,[{'数量': 17}],True
740,"请帮我查询下在2020年, 安信基金管理有限责任公司管理的债券型基金中，持有过超短期融资券的基金有多少只？","SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '安信基金管理有限责任公司'
)
AND 持仓日期 LIKE '2020%'
AND 债券类型 = '超短期融资券'
LIMIT 1;",[{'数量': 2}],"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '安信基金管理有限责任公司'
)
AND 持仓日期 LIKE '2020%'
AND 债券类型 = '超短期融资券'
LIMIT 1;",True,[{'数量': 2}],True
741,"请查询：2019年12月年报(含半年报),持有19农业银行CD207且是前10大重仓股的基金有几个？","SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '年报(含半年报)'
AND 债券名称 = '19农业银行CD207'
AND 第N大重仓股 <= 10
LIMIT 1;",[{'数量': 5}],"SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '年报(含半年报)'
AND 债券名称 = '19农业银行CD207'
AND 第N大重仓股 <= 10
LIMIT 1;",True,[{'数量': 5}],True
743,请查询在20210301日期，中信行业分类下电子一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210301'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '电子'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",[{'股票代码': '300782'}],"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210301'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '电子'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",True,[{'股票代码': '300782'}],True
747,我想知道易方达恒盛3个月定期开放混合基金在20210930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '易方达恒盛3个月定期开放混合'
AND t1.持仓日期 = '20210930'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '银行'}],"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '易方达恒盛3个月定期开放混合'
AND t1.持仓日期 = '20210930'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",True,[{'一级行业名称': '银行'}],True
748,我想知道汇添富悦享定期开放混合基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '汇添富悦享定期开放混合'
        AND 持仓日期 = '20211231'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 10
    )
    AND 交易日 BETWEEN '20210101' AND '20211231'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",[{'数量': 7}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '汇添富悦享定期开放混合'
        AND 持仓日期 = '20211231'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 10
    )
    AND 交易日 BETWEEN '20210101' AND '20211231'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",True,[{'数量': 7}],True
749,我想知道股票300645在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '300645'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '计算机应用'}],"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '300645'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",True,[{'二级行业名称': '计算机应用'}],True
751,"请查询：2020年12月年报(含半年报),持有20交投Y4且是前10大重仓股的基金有几个？","SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20201231'
AND 报告类型 = '年报(含半年报)'
AND 债券名称 = '20交投Y4'
AND 第N大重仓股 <= 10
LIMIT 1;",[{'数量': 4}],"SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20201231'
AND 报告类型 = '年报(含半年报)'
AND 债券名称 = '20交投Y4'
AND 第N大重仓股 <= 10
LIMIT 1;",True,[{'数量': 4}],True
753,20201027日，请给出华安添瑞6个月持有期混合C基金的管理人和累计单位净值。,"SELECT t1.管理人, t2.累计单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '华安添瑞6个月持有期混合C'
AND t2.交易日期 = '20201027'
LIMIT 1;","[{'管理人': '华安基金管理有限公司', '累计单位净值': 1.0448}]","SELECT t1.管理人, t2.累计单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '华安添瑞6个月持有期混合C'
AND t2.交易日期 = '20201027'
LIMIT 1;",True,"[{'管理人': '华安基金管理有限公司', '累计单位净值': 1.0448}]",True
758,我想知道交银施罗德可转债债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '交银施罗德可转债债券C'
AND t1.持仓日期 = '20200331'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '银行'}],"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '交银施罗德可转债债券C'
AND t1.持仓日期 = '20200331'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",True,[{'一级行业名称': '银行'}],True
759,在2020年12月季报中，持有温氏股份这一股票且市值占基金资产净值比不小于5%的有几只基金？,"SELECT COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20201231'
AND 报告类型 = '季报'
AND 股票名称 = '温氏股份'
AND 市值占基金资产净值比 * 100 >= 5
LIMIT 1;",[{'数量': 1}],"SELECT COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20201231'
AND 报告类型 = '季报'
AND 股票名称 = '温氏股份'
AND 市值占基金资产净值比 * 100 >= 5
LIMIT 1;",True,[{'数量': 1}],True
760,我想知道金鹰鑫益灵活配置混合E基金在20190930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '金鹰鑫益灵活配置混合E'
AND t1.持仓日期 = '20190930'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '传媒'}],"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '金鹰鑫益灵活配置混合E'
AND t1.持仓日期 = '20190930'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",True,[{'一级行业名称': '传媒'}],True
762,20211104日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(*) AS 数量
FROM A股票日行情表 t1 JOIN A股票日行情表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = '20211104'
AND t2.交易日 = (
    SELECT MAX(交易日)
    FROM A股票日行情表
    WHERE 交易日 < '20211104'
    LIMIT 1
)
AND t1.[今开盘(元)] > t2.[最高价(元)]
LIMIT 1;",[{'数量': 406}],"SELECT COUNT(*) AS 数量
FROM A股票日行情表 t1 JOIN A股票日行情表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = '20211104'
AND t2.交易日 = (
    SELECT MAX(交易日)
    FROM A股票日行情表
    WHERE 交易日 < '20211104'
    LIMIT 1
)
AND t1.[今开盘(元)] > t2.[最高价(元)]
LIMIT 1;",True,[{'数量': 406}],True
763,我想知道国泰信用互利债券A基金在20211231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '国泰信用互利债券A'
AND t1.持仓日期 = '20211231'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '电子'}],"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '国泰信用互利债券A'
AND t1.持仓日期 = '20211231'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",True,[{'一级行业名称': '电子'}],True
764,请帮我查询下股票代码为002925的股票在2021年内最高日收盘价是多少？,"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '002925'
AND 交易日 LIKE '2021%'
LIMIT 1;",[{'最高日收盘价': 71.99}],"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '002925'
AND 交易日 LIKE '2021%'
LIMIT 1;",True,[{'最高日收盘价': 71.99}],True
767,请帮我查询在截止2020-06-30的基金定期报告中，基金总赎回份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-06-30%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总赎回份额 = 0
LIMIT 1;",[{'数量': 546}],"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-06-30%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总赎回份额 = 0
LIMIT 1;",True,[{'数量': 546}],True
768,请查询在2020年度，300397股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2020%'
AND 股票代码 = '300397'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 8}],"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2020%'
AND 股票代码 = '300397'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",True,[{'天数': 8}],True
769,请问股票代码为600578的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '600578'
    AND 交易日 LIKE '2019%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 148}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '600578'
    AND 交易日 LIKE '2019%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",True,[{'天数': 148}],True
773,2020年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2020-03-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净赎回), 2) AS 净赎回份额
FROM t1
WHERE 净赎回 > 0
LIMIT 1;","[{'数量': 996, '净赎回份额': 196350640124.8}]","WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2020-03-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净赎回), 2) AS 净赎回份额
FROM t1
WHERE 净赎回 > 0
LIMIT 1;",True,"[{'数量': 996, '净赎回份额': 196350640124.8}]",True
774,帮我查一下在2020年，代码为000929的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '000929'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",[{'天数': 90}],"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '000929'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",True,[{'天数': 90}],True
775,我想知道鹏华丰诚债券A基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '鹏华丰诚债券A'
AND t1.持仓日期 = '20200930'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '家用电器'}],"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '鹏华丰诚债券A'
AND t1.持仓日期 = '20200930'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",True,[{'一级行业名称': '家用电器'}],True
777,请帮我查询出20210511日，建筑装饰一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210511'
AND t2.一级行业名称 = '建筑装饰'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 5
LIMIT 1;",[{'数量': 5}],"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210511'
AND t2.一级行业名称 = '建筑装饰'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 5
LIMIT 1;",True,[{'数量': 5}],True
779,请帮我查询下股票代码为002870的股票在2021年内最高日收盘价是多少？,"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '002870'
AND 交易日 LIKE '2021%'
LIMIT 1;",[{'最高日收盘价': 45.54}],"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '002870'
AND 交易日 LIKE '2021%'
LIMIT 1;",True,[{'最高日收盘价': 45.54}],True
780,帮我查一下在2020年，代码为601028的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '601028'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",[{'天数': 121}],"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '601028'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",True,[{'天数': 121}],True
781,20190917日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20190917'
ORDER BY [成交金额(元)] DESC
LIMIT 3;","[{'股票代码': '601318'}, {'股票代码': '000063'}, {'股票代码': '300059'}]","SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20190917'
ORDER BY [成交金额(元)] DESC
LIMIT 3;",True,"[{'股票代码': '601318'}, {'股票代码': '000063'}, {'股票代码': '300059'}]",True
783,20190401日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20190401'
ORDER BY [成交金额(元)] DESC
LIMIT 3;","[{'股票代码': '600030'}, {'股票代码': '601318'}, {'股票代码': '300059'}]","SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20190401'
ORDER BY [成交金额(元)] DESC
LIMIT 3;",True,"[{'股票代码': '600030'}, {'股票代码': '601318'}, {'股票代码': '300059'}]",True
784,我想知道信澳量化多因子混合(LOF)A在2020年Q1的季报中，该基金的第5大重仓股的代码是什么?,"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '信澳量化多因子混合(LOF)A'
AND 持仓日期 = '20200331'
AND 报告类型 = '季报'
AND 第N大重仓股 = 5
LIMIT 1;",[{'股票代码': '300012'}],"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '信澳量化多因子混合(LOF)A'
AND 持仓日期 = '20200331'
AND 报告类型 = '季报'
AND 第N大重仓股 = 5
LIMIT 1;",True,[{'股票代码': '300012'}],True
785,20190726日，一级行业为化工的股票的成交量合计是多少？取整。,"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190726'
AND t2.一级行业名称 = '化工'
LIMIT 1;",[{'成交量合计': 2342532922}],"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190726'
AND t2.一级行业名称 = '化工'
LIMIT 1;",True,[{'成交量合计': 2342532922}],True
787,我想知道在2019年，广发基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '广发基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",[{'数量': 14}],"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '广发基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",True,[{'数量': 14}],True
789,请帮我查询在截止2019-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2019-03-31%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总赎回份额 = 0
LIMIT 1;",[{'数量': 110}],"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2019-03-31%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总赎回份额 = 0
LIMIT 1;",True,[{'数量': 110}],True
792,"请查询：2019年12月年报(含半年报),持有19农业银行CD120且是前10大重仓股的基金有几个？","SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '年报(含半年报)'
AND 债券名称 = '19农业银行CD120'
AND 第N大重仓股 <= 10
LIMIT 1;",[{'数量': 2}],"SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '年报(含半年报)'
AND 债券名称 = '19农业银行CD120'
AND 第N大重仓股 <= 10
LIMIT 1;",True,[{'数量': 2}],True
798,国寿安保泰恒纯债债券基金在20200630且报告类型是年报(含半年报)的持债市值中，哪类债券市值最高？,"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 基金简称 = '国寿安保泰恒纯债债券'
AND 持仓日期 = '20200630'
AND 报告类型 = '年报(含半年报)'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '中期票据'}],"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 基金简称 = '国寿安保泰恒纯债债券'
AND 持仓日期 = '20200630'
AND 报告类型 = '年报(含半年报)'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",True,[{'债券类型': '中期票据'}],True
802,在2020年的年度报告里，华安基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '华安基金管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",[{'比例': 56.86}],"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '华安基金管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",True,[{'比例': 56.86}],True
804,请问2020年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2020-03-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 798, '净申购份额': 325062572784.25}]","WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2020-03-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;",True,"[{'数量': 798, '净申购份额': 325062572784.25}]",True
