问题id,问题,答案,分类
772,在本招股意向书的报告期内，常熟风范电力设备股份有限公司生产所需的主要原材料是什么？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
773,2020年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"问题：“2020年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。”
回答：“基金股票数据库”",SQL
774,帮我查一下在2020年，代码为000929的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
775,我想知道鹏华丰诚债券A基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
776,真兰仪表的主营业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
777,请帮我查询出20210511日，建筑装饰一级行业涨幅超过5%（不包含）的股票数量。,这个问题应该属于基金股票数据库。,SQL
778,西安启源机电装备股份有限公司战略委员会成员由几名公司董事组成？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，西安启源机电装备股份有限公司的战略委员会成员由几名公司的董事组成，并没有在基金股票数据库中提及。因此，该问题应该在公司的招股说明书中寻找答案。",Text
779,请帮我查询下股票代码为002870的股票在2021年内最高日收盘价是多少？,回答：“基金股票数据库”,SQL
780,帮我查一下在2020年，代码为601028的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
781,20190917日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题应该属于基金股票数据库。,SQL
782,截至2010年6月30日，西安启源机电装备股份有限公司在册员工总数为多少人？,该问题的答案可能包含在基金的招募说明书或股票数据库中。由于问题没有给出具体的公司名称或基金名称，因此无法确定具体的信息来源。,Text
783,20190401日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题应该属于基金股票数据库。,SQL
784,我想知道信澳量化多因子混合(LOF)A在2020年Q1的季报中，该基金的第5大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
785,20190726日，一级行业为化工的股票的成交量合计是多少？取整。,这个问题需要在基金股票数据库中查找相关数据并进行计算。因此，答案是“基金股票数据库”。,SQL
786,广州中海达卫星导航技术股份有限公司的主要发起人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，要在招股说明书中查找广州中海达卫星导航技术股份有限公司的主要发起人。",Text
787,我想知道在2019年，广发基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,回答：“基金股票数据库”,SQL
788,广东银禧科技股份有限公司设立时的发起人是谁？,回答：“该公司的招股说明书”,Text
789,请帮我查询在截止2019-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,回答：“基金股票数据库”,SQL
790,2017年大博医疗科技股份有限公司收到了哪家公司的侵犯专利诉讼？,该问题的分类应该是“该公司的招股说明书”。,Text
791,珠海健帆生物科技股份有限公司在哪些方面形成了较强的竞争优势？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
792,"请查询：2019年12月年报(含半年报),持有19农业银行CD120且是前10大重仓股的基金有几个？",基金股票数据库,SQL
793,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？,该问题的分类应该是“该公司的招股说明书”。,Text
794,招股意向书中所披露的湖南长远锂科股份有限公司的特别风险因素有哪些？,该问题的答案应该在湖南长远锂科股份有限公司的招股说明书中。,Text
795,武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
796,云南沃森生物技术股份有限公司先后承担了多少国家级、省级、市级课题项目？,该问题属于招股说明书中提到的信息。,Text
797,海南双成药业股份有限公司的主导产品是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
798,国寿安保泰恒纯债债券基金在20200630且报告类型是年报(含半年报)的持债市值中，哪类债券市值最高？,回答：“基金股票数据库”,SQL
799,截止2006 年6月30日，湖南南岭民用爆破器材股份有限公司是否有长期借款，余额为多少？,该问题的描述中没有给出任何关于该基金或股票的信息，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
800,北京天宜上佳高新材料股份有限公司的控股股东是谁？持有多少的股份？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
801,2007年广东银禧科技股份有限公司收购了银禧工塑多少股份？这次收购的目的是什么？,该问题的描述不清，无法确定应该在基金的招股说明书中还是在股票数据库中查找答案。建议提供更多的上下文信息以便更准确地回答问题。,Text
802,在2020年的年度报告里，华安基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,回答：“基金股票数据库”,SQL
803,烟台杰瑞石油服务集团股份有限公司的劣势是什么？,该问题的类别为“该公司的招股说明书”。,Text
804,请问2020年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2020年内最高日收盘价是多少？”,SQL
805,请帮我计算，代码为300142的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"问题：“请帮我计算，代码为300142的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。？”
回答：“基金股票数据库”",SQL
806,请问2021年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2021年内最高日收盘价是多少?”,SQL
807,中国铁路通信信号股份有限公司的实际控制人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
808,20190408日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,这个问题的答案应该在基金股票数据库中。,SQL
809,广州中海达卫星导航技术股份有限公司的国内营销网络七大区是哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
810,截止2005年12月31日，南岭化工厂的总资产和净资产分别是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
811,截至2017年12月31日，汉嘉设计集团股份有限公司无形资产原值为多少？ 账面价值为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
812,20210218港股下跌的股票家数有多少家?,基金股票数据库,SQL
813,2007年度，联化科技股份有限公司向欧盟出口的销售收入占公司工业业务收入的比重是多少？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法将其分类为在这两个地方中的任何一个。,Text
814,请问股票代码为600601的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
815,报告期各期，深圳市铁汉生态环境股份有限公司 经营活动产生的现金流量净额分别为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
816,"请帮我查询在2020年,恒生前海基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
817,请帮我查询下股票代码为301182的股票在2021年内最高日收盘价是多少？,回答：“基金股票数据库”,SQL
818,珠海健帆生物科技股份有限公司的产品已覆盖全国多少个省市和医院？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
819,招商基金管理有限公司管理的混合型产品的数量有多少?,回答：“基金股票数据库”,SQL
820,请查询：在20190729，属于申万二级橡胶行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,回答：“基金股票数据库”,SQL
821,根据招股意向书，预计昇兴集团股份有限公司2015年1-3月实现销售收入的范围是？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
822,融通增强收益债券C基金在20201231的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
823,请查询：在20190906，属于申万二级营销传播行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,该问题需要查询基金股票数据库中的信息。,SQL
824,2019年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2019年内最高日收盘价是多少?”,SQL
825,在2021年11月22日，使用中信行业分类标准，股票代码600267是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
826,烟台杰瑞石油服务集团股份有限公司的产品和服务主要应用于哪个行业？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
827,大博医疗科技股份有限公司合并报表中商誉的金额是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
828,20201231日，建筑装饰一级行业有多少只A股股票？,这个问题的答案应该在基金股票数据库中。,SQL
829,请帮我计算，代码为601117的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"问题：“请帮我计算，代码为601117的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。？”
回答：“基金股票数据库”",SQL
830,兰州海默科技股份有限公司的销售方式主要有哪两种？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
831,在2019年报中，中科沃土沃瑞灵活配置混合C基金第七大重仓股的代码和股票名称是什么？,回答：“基金股票数据库”,SQL
832,20200616日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题的答案应该在基金股票数据库中。,SQL
833,2020年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"问题：“请帮忙查询下股票代码为XXXXXX的股票在2020年四季度的净赎回情况，包括净赎回的基金数量和总份额，并将结果四舍五入到小数点后两位。”
回答：“基金股票数据库”",SQL
834,2009年南京中电联环保股份有限公司支付给职工以及为职工支付的现金共计为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，只有招股说明书中才会包含关于某个公司过去几年的财务信息，包括支付给职工以及为职工支付的现金的数据。",Text
835,根据中国证监会颁布《上市公司行业分类指引（ 2012 年修订）》，中国铁路通信信号股份有限公司所属的行业是？,该问题的分类应该是“该公司的招股说明书”，因为答案可能包含在该公司招股说明书中。,Text
836,云南沃森生物技术股份有限公司生产的的冻干A、C群脑膜炎球菌多糖结合疫苗具有怎样的国际地位？,该问题的描述类别最适合出现在“该公司的招股说明书”中。,Text
837,浙江双飞无油轴承股份有限公司收入是否与其下游客户规模匹配？,该问题的描述不清，无法判断答案是在该公司的招股说明书中还是在基金股票数据库里。请提供更多的信息和上下文以便我能更好地回答您的问题。,Text
838,20210907日，一级行业为家用电器的股票的成交量合计是多少？取整。,回答：“基金股票数据库”,SQL
839,我想知道泰康申润一年持有期混合C基金在20210331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
840,20190812日，一级行业为家用电器的股票的成交金额合计是多少？取整。,回答：“基金股票数据库”,SQL
841,我想知道蜂巢基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,回答：“基金股票数据库”,SQL
842,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，中信行业分类行业划分标准,建筑一级行业中, 代码为多少的股票的日均收益率最高？",这个问题需要在基金股票数据库中查找答案。,SQL
843,内蒙古君正能源化工股份有限公司发行前每股净资产为多少元？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
844,兰州海默科技股份有限公司的实际控制人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
845,在2021年报中，荃银高科和格力地产分别在多少只基金的前10大重仓股里？,这个问题应该属于基金股票数据库。,SQL
846,请帮我查询在截止2019-09-30的报告期间，基金总份额降低的基金数量是多少？,问题：“基金股票数据库”,SQL
847,深圳信立泰药业股份有限公司注射盐酸头孢吡肟（信力威、1.0 克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,该问题的答案应该在基金股票数据库中。,Text
848,"请帮我查询下在2020年, 西部利得基金管理有限公司管理的债券型基金中，持有过可交换公司债券的基金有多少只？",这个问题应该属于基金股票数据库。,SQL
849,20201207日，请给出嘉合永泰优选三个月持有期混合(FOF)C基金的管理人和累计单位净值。,回答：“基金股票数据库”,SQL
850,请帮我计算，代码为000776的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"问题：“请帮我计算，代码为000776的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。？”
回答：“基金股票数据库”",SQL
851,广东银禧科技股份有限公司的控股股东是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
852,"请帮我查询下，在20201030，中信行业分类里一级行业为房地产行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
853,目前新疆浩源天然气股份有限公司的上游供应商是？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
854,大博医疗科技股份有限公司的主要技术有哪些？,该问题的描述类别最适合出现在该公司的招股说明书中。,Text
855,上海真兰仪表科技股份有限公司何时完成与主业不相关的电气业务剥离？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据问题描述，需要在招股说明书中查找相关信息。",Text
856,中国铁路通信信号股份有限公司生产经营中是否涉及环境污染？如果涉及，涉及环境污染的环节有哪些？,"该问题的分类结果应该为""该公司的招股说明书""。",Text
857,读者出版传媒股份有限公司的主要业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
858,20200617日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题的答案应该在基金股票数据库中。,SQL
859,我想知道鹏扬聚利六个月持有期债券A基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
860,请帮我查询下，在2021年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,回答：“基金股票数据库”,SQL
861,勤上有限何时变更为内资企业？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,SQL
862,北京天宜上佳高新材料股份有限公司的注册资本是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
863,20210701日，请给出博道嘉兴一年持有期混合基金的管理人和累计单位净值。,基金股票数据库,SQL
864,请查询：在20200319，属于申万二级电气自动化设备行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,回答：“基金股票数据库”,SQL
865,西部利得得尊纯债债券C基金在20211231且报告类型是季报的持债市值中，哪类债券市值最高？,回答：“基金股票数据库”,SQL
866,2015年2016 年，汉嘉设计集团股份有限公司主营业务成本中，人工费用占主营业务成本比例分别为多少？,该问题应该属于基金的股票数据库中。,Text
867,浙江双飞无油轴承股份有限公司客户为哪些行业的企业？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
868,湖南长远锂科股份有限公司的采购模式是怎样的？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
869,我想知道长城品质成长混合C基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,基金股票数据库,SQL
870,鹏华添利宝货币B基金在20210331且报告类型是季报的持债市值中，哪类债券市值最高？,回答：“基金股票数据库”,SQL
871,浙江开尔新材料股份有限公司成立时主要产品有什么？,该问题的描述不清，无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。请提供更多的信息或者更清晰的问题描述。,Text
872,请帮我查询在截止2019-06-30的基金定期报告中，基金总赎回份额为零的基金有几个？,回答：“基金股票数据库”,SQL
873,在2020年12月年报(含半年报)中，中欧真益稳健一年持有期混合C基金持有市值最多的前10只股票中，所在证券市场是深圳证券交易所的有几个？,回答：“基金股票数据库”,SQL
874,请帮我查询下，在2020年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,基金股票数据库,SQL
875,20190129日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题应该属于基金股票数据库。,SQL
876,在2019年12月季报中，持有长实集团这一股票且市值占基金资产净值比不小于5%的有几只基金？,回答：“基金股票数据库”,SQL
877,2019年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2019年内最高日收盘价是多少?”,SQL
878,青海互助青稞酒股份有限公司本次发行后总股本不超过多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
879,生态环境建设行业的上游是什么行业？,该问题的答案可能包含在基金的股票数据库中。,SQL
880,华达汽车科技股份有限公司的下游行业是什么？主要客户有哪些？,该问题的答案可能包含在华达汽车科技股份有限公司的招股说明书中。,Text
881,根据读者出版传媒股份有限公司招股意向书，2013年我国新闻出版产业的利润总额是多少？,该问题的答案应该在招股说明书中。,Text
882,在2020年12月季报中，持有九洲药业这一股票且市值占基金资产净值比不小于5%的有几只基金？,回答：“基金股票数据库”,SQL
883,"在20200630的年报(含半年报)中，国泰农惠定期开放债券基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
884,内蒙古君正能源化工股份有限公司产业链的核心环节是什么？,该问题的描述类别最适合出现在该公司的招股说明书中。,Text
885,海南双成药业股份有限公司的核心技术优势是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
886,为防止技术失密，华达汽车科技股份有限公司采取了哪些措施？,"该问题的描述类别最适合于 ""该公司的招股说明书""。",Text
887,大连派思燃气系统股份有限公司的技术开发机构在何时被认定为省级企业技术中心？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，只有在该公司的招股说明书中才能找到关于这个问题的答案。",Text
888,查询下基金代码010663的基金，它的管理费率是？,基金股票数据库,SQL
889,请帮我查询在截止2020-09-30的基金定期报告中，基金总赎回份额为零的基金有几个？,回答：“基金股票数据库”,SQL
890,若2011年、2012年深圳信立泰药业股份有限公司未被认定为高新技术企业，则按照新税法规定，公司将分别按照多少税率缴纳企业所得税？,该问题的答案应该在基金的招募说明书或股票的相关信息中，因此答案是“基金股票数据库”。,Text
891,20200907日，请给出华宝大健康混合A基金的管理人和累计单位净值。,回答：“基金股票数据库”,SQL
892,我想知道凯石沣混合C基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
893,在2020年报中，招商沪深300高贝塔指数基金第三大重仓股的代码和股票名称是什么？,这个问题的答案应该在基金股票数据库中。,SQL
894,根据该招股意向书，江苏旷达汽车织物集团股份有限公司正在从事研发项目包括哪些？,"该问题的分类应该是""该公司的招股说明书""。",Text
895,在2021年报中，鹏华核心优势混合A基金第十大重仓股的代码和股票名称是什么？,回答：“基金股票数据库”,SQL
896,2021年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2021年内最低日收盘价是多少?”,SQL
897,20211027日，请给出光大阳光稳债收益12个月持有期债券C基金的管理人和单位净值。单位净值保留两位小数。,回答：“基金股票数据库”,SQL
898,我想知道在2020年，南方基金管理股份有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,回答：“基金股票数据库”,SQL
899,请查询：在20201130，属于申万二级农产品加工行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,回答：“基金股票数据库”,SQL
900,我想知道在2019年，泓德基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,这个问题应该属于基金股票数据库。,SQL
901,海南双成药业股份有限公司的竞争劣势有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
902,在2019年报中，鹏华核心优势混合A基金第四大重仓股的代码和股票名称是什么？,回答：“基金股票数据库”,SQL
903,20190724日，一级行业为医药生物的股票的成交量合计是多少？取整。,该问题需要查询基金股票数据库中的数据。,SQL
904,股票600290在20211105日期中的收盘价是多少?（小数点保留3位）,问题：“股票600290在20211105日期中的收盘价是多少?（小数点保留3位）”属于基金股票数据库。,SQL
905,请问2020年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2020年内最高日收盘价是多少？”,SQL
906,我想知道前海开源中药研究精选股票A在2021年Q2的季报中，该基金的第4大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
907,读者出版传媒股份有限公司董事是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
908,请问2021年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2021年内最高日收盘价是多少?”,SQL
909,江苏爱康太阳能科技股份有限公司报告期内第一大客户是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据江苏爱康太阳能科技股份有限公司的招股书，我们可以找到关于该公司报告期内第一大客户的信息。",Text
910,请帮我计算，代码为603937的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"问题：“请帮我计算，代码为603937的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。？”
回答：“基金股票数据库”",SQL
911,"我想了解一下银华基金管理股份有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",回答：“基金股票数据库”,SQL
912,"请查询：2020年12月年报(含半年报),持有16华润01且是前10大重仓股的基金有几个？",回答：“基金股票数据库”,SQL
913,在2021年的中期报告里，博时基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"问题：“在2021年的中期报告里，博时基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。”
回答：“基金股票数据库”",SQL
914,20201116日，一级行业为综合金融的股票的成交量合计是多少？取整。,问题：“基金股票数据库”,SQL
915,海南双成药业股份有限公司的经营范围是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
916,江苏旷达汽车织物集团股份有限公司是否存在管理风险？有哪些管理风险？,该问题的分类应该是“该公司的招股说明书”。因为这类问题通常需要查阅招股说明书中 company 的风险因素部分来获取答案。,Text
917,在2020年报中，南方荣尊混合A基金第六大重仓股的代码和股票名称是什么？,回答：“基金股票数据库”,SQL
918,广东银禧科技股份有限公司注册资本是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
919,2019年中期报告里，东方基金管理股份有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,问题：“该公司的招股说明书”,Text
920,请帮我计算：在20190612，日收益率为负的A股股票有几个。,"问题：“请帮我计算：在20190612，日收益率为负的A股股票有几个。”
回答：“基金股票数据库”",SQL
921,大博医疗科技股份有限公司在2015年受到了哪些行政处罚？,该问题的分类应该是“该公司的招股说明书”。,Text
922,2010年和2009年浙江开尔新材料股份有限公司签署的海外项目折合人民币金额分别是多少？,该问题的答案应该在该公司 的招股说明书中。,Text
923,我想知道兴全合宜灵活配置混合(LOF)C在2021年Q1的季报中，该基金的第2大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
924,湖南长远锂科股份有限公司日常业务的经营主要涉及哪些部门？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法确定答案所在的位置。,Text
925,请帮我查询下股票代码为600351的股票在2021年内最高日收盘价是多少？,回答：“基金股票数据库”,SQL
926,烟台杰瑞石油服务集团股份有限公司获得过哪些荣誉称号？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
927,为推广IPTV业务并提升山东海看网络科技有限公司IPTV业务知名度，报告期内山东海看网络科技有限公司要主要通过什么方式进行业务宣传？,该问题的答案可能包含在基金的招募说明书或股票的公司公告中。,Text
928,南京中电联环保股份有限公司的住所为？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
929,浙江开尔新材料股份有限公司本次发行拟发行股份多少？发行后总股本为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
930,2018年、2019年及2020年，森赫电梯股份有限公司境外销售收入分别为多少万元？占主营业务收入的比例为多少？,该问题的答案应该可以在该公司的招股说明书中找到。,Text
931,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，中信行业分类行业划分标准,非银行金融一级行业中, 代码为多少的股票的日均收益率最高？",问题：“基金股票数据库”,SQL
932,珠海健帆生物科技股份有限公司计划投资多少资金用于扩建研发中心？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
933,根据中国证监会颁布的《上市公司行业分类指导》的规定，西安启源机电装备股份有限公司所属的行业大类、中类、小类是什么？,该问题的答案应该在该公司 的招股说明书中。,Text
934,20210429港股下跌的股票家数有多少家?,问题：“基金股票数据库”,SQL
935,请帮我查询下，在2021年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,回答：“基金股票数据库”,SQL
936,我想知道在20200930的季报里，东兴中证消费50指数C投资的股票分别是哪些申万一级行业？,回答：“基金股票数据库”,SQL
937,江苏爱康太阳能科技股份有限公司成立时，主要发起人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
938,帮我查一下上银中证500指数增强C基金在20210827的资产净值和单位净值是多少?,回答：“基金股票数据库”,SQL
939,请帮我查询出20210712日，建材一级行业涨幅超过5%（不包含）的股票数量。,这个问题应该属于基金股票数据库。,SQL
940,请帮我查询下，在2020年Q4季报报告中，008572基金的第一大重仓可转债同期还有多少只基金也进行了持仓？,回答：“基金股票数据库”,SQL
941,2017年1-6月，大博医疗科技股份有限公司水费单价为什么上升？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
942,"在20190630的年报(含半年报)中，德邦锐兴债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
943,上海真兰仪表科技股份有限公司2020年增资的价格是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
944,招商基金管理有限公司管理的股票型产品的数量有多少?,问题：“该基金股票数据库中有招商基金管理有限公司管理的股票型产品的数量，请告诉我具体的数字。”,SQL
945,查询下基金代码009106的基金，它的托管费率是？,基金股票数据库,SQL
946,2015年至2017年，汉嘉设计集团股份有限公司来自浙江省内的业务收入占公司当期主营业务收入的比例分别是多少？,该问题的答案应该在该公司 的招股说明书中。,Text
947,报告期内云南沃森生物技术股份有限公司销售的自产疫苗产品有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
948,湖南长远锂科股份有限公司的主要产品有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
949,在2019年1月27日，使用中信行业分类标准，股票代码002051是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
950,查询下基金代码009104的基金，它的管理费率是？,基金股票数据库,SQL
951,请查询：在20200629，属于申万二级金属非金属新材料行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,回答：“基金股票数据库”,SQL
952,我想知道华夏创业板动量成长ETF基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
