问题,SQL,SQL结果,答案
国联聚通3个月定期开放债券基金在20211231的季报里，前十大持仓占比的债券名称是什么?,"SELECT 债券名称
FROM 基金债券持仓明细
WHERE 基金简称 = '国联聚通3个月定期开放债券'
AND 持仓日期 = '20211231'
AND 报告类型 = '季报'
ORDER BY 第N大重仓股 ASC
LIMIT 10;","[{'债券名称': '19首钢MTN003'}, {'债券名称': '20芙蓉债'}, {'债券名称': '21开福集团债01'}, {'债券名称': '21宁乡城投02'}, {'债券名称': '20财信01'}]",国联聚通3个月定期开放债券基金在20211231的季报里，前十大持仓占比的债券名称是19首钢MTN003、20芙蓉债、21开福集团债01、21宁乡城投02、20财信01。
新华基金管理股份有限公司2021年成立了多少基金?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '新华基金管理股份有限公司'
AND 成立日期 LIKE '2021%'
LIMIT 1;",[{'数量': 0}],新华基金管理股份有限公司2021年成立了0只基金。
在2019年9月6日，使用申万行业分类标准，股票代码601206是属于哪个一级行业的?,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20190906'
AND 行业划分标准 = '申万行业分类'
AND 股票代码 = '601206'
LIMIT 1;",[{'一级行业名称': '医药生物'}],在2019年9月6日，使用申万行业分类标准，股票代码601206是属于医药生物一级行业。
帮我查一下国寿安保稳和6个月持有期混合A基金在20210406的资产净值和单位净值是多少?,"SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '国寿安保稳和6个月持有期混合A'
    LIMIT 1
)
AND 交易日期 = '20210406'
LIMIT 1;","[{'资产净值': 5311436851.02, '单位净值': 1.0148}]",国寿安保稳和6个月持有期混合A基金在20210406的资产净值是5311436851.02元，单位净值是1.0148元。
在20201207，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20201207'
AND 行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'一级行业名称': '机械'}],在20201207，按照中信行业分类的行业划分标准，机械一级行业的A股公司数量最多。
"请帮我查询下，在20190220，申万行业分类里一级行业为采掘行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","SELECT t1.股票代码, t1.[成交金额(元)]
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190220'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '采掘'
ORDER BY t1.[成交金额(元)] DESC
LIMIT 1;","[{'股票代码': '600157', '成交金额(元)': 831207541.0}]","在20190220，申万行业分类里一级行业为采掘行业的所有股票里, 成交金额(元)最多的股票的代码是600157，成交金额是831207541.0元。"
请帮我查询下，在2019年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,"SELECT 基金简称, ROUND(报告期基金总申购份额 - 报告期基金总赎回份额, 2) AS 差额
FROM 基金规模变动表
WHERE 截止日期 LIKE '2019-03%'
ORDER BY 差额 DESC
LIMIT 1;","[{'基金简称': '华夏鼎略债券A', '差额': 4504188854.73}]",在2019年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是华夏鼎略债券A，差额是4504188854.73份。
"帮我算一下在20210318,代码为01905的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND(([最高价(元)] - [最低价(元)]) / [昨收盘(元)], 3) AS 日价格振幅
FROM 港股票日行情表
WHERE 交易日 = '20210318'
AND 股票代码 = '01905'
LIMIT 1;",[{'日价格振幅': 0.024}],"在20210318,代码为01905的港股日价格振幅是0.024。"
"请帮我查询在2020年,兴证证券资产管理有限公司成立哪种类型的基金个数最多?","SELECT 基金类型
FROM 基金基本信息
WHERE 成立日期 LIKE '2020%'
AND 管理人 = '兴证证券资产管理有限公司'
GROUP BY 基金类型
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'基金类型': '混合型'}],"在2020年,兴证证券资产管理有限公司成立混合型的基金个数最多。"
在2021年报中，睿远成长价值混合C基金第一大重仓股的代码和股票名称是什么？,"SELECT 股票代码, 股票名称
FROM 基金股票持仓明细
WHERE 持仓日期 = '20211231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '睿远成长价值混合C'
AND 第N大重仓股 = 1
LIMIT 1;","[{'股票代码': '600703', '股票名称': '三安光电'}]",在2021年报中，睿远成长价值混合C基金第一大重仓股的代码是600703，股票名称是三安光电。
2019年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2019-09-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净赎回), 2) AS 净赎回份额
FROM t1
WHERE 净赎回 > 0
LIMIT 1;","[{'数量': 598, '净赎回份额': 115607107036.04}]",2019年三季度，有598家基金发生了净赎回，总共赎回了115607107036.04份额。
"在20201231的年报(含半年报)中，汇添富稳健增长混合A基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT 债券类型
FROM 基金债券持仓明细
WHERE 持仓日期 = '20201231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '汇添富稳健增长混合A'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '公司债券'}],"在20201231的年报(含半年报)中，汇添富稳健增长混合A基金的债券持仓,其持有最大仓位的债券类型是公司债券。"
在2019年12月27日，使用中信行业分类标准，股票代码688171是属于哪个一级行业的?,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20191227'
AND 行业划分标准 = '中信行业分类'
AND 股票代码 = '688171'
LIMIT 1;",[{'一级行业名称': '计算机'}],在2019年12月27日，使用中信行业分类标准，股票代码688171是属于计算机一级行业。
在2019年2月10日，使用申万行业分类标准，股票代码603858是属于哪个一级行业的?,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20190210'
AND 行业划分标准 = '申万行业分类'
AND 股票代码 = '603858'
LIMIT 1;",[{'一级行业名称': '医药生物'}],在2019年2月10日，使用申万行业分类标准，股票代码603858是属于医药生物一级行业。
请帮我计算：在20200820，日收益率为负的A股股票有几个。,"SELECT COUNT(股票代码) AS 数量
FROM A股票日行情表
WHERE 交易日 = '20200820'
AND [收盘价(元)] < [昨收盘(元)]
LIMIT 1;",[{'数量': 2796}],在20200820，日收益率为负的A股股票有2796个。
我想知道在20200930的季报里，嘉实中证500成长估值ETF投资的股票分别是哪些申万一级行业？,"SELECT DISTINCT(一级行业名称)
FROM A股公司行业划分表 t1 JOIN 基金股票持仓明细 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日期 = t2.持仓日期
AND t1.交易日期 = '20200930'
AND t1.行业划分标准 = '申万行业分类'
AND t2.报告类型 = '季报'
AND t2.基金简称 = '嘉实中证500成长估值ETF';","[{'一级行业名称': '家用电器'}, {'一级行业名称': '轻工制造'}, {'一级行业名称': '医药生物'}, {'一级行业名称': '机械设备'}, {'一级行业名称': '电子'}, {'一级行业名称': '国防军工'}, {'一级行业名称': '化工'}, {'一级行业名称': '传媒'}, {'一级行业名称': '建筑材料'}]",在20200930的季报里，嘉实中证500成长估值ETF投资的股票分别是家用电器、轻工制造、医药生物、机械设备、电子、国防军工、化工、传媒、建筑材料申万一级行业。
建信中债3-5年国开行债券指数C基金在20191231且报告类型是季报的持债市值中，哪类债券市值最高？,"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 基金简称 = '建信中债3-5年国开行债券指数C'
AND 持仓日期 = '20191231'
AND 报告类型 = '季报'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '金融债券'}],建信中债3-5年国开行债券指数C基金在20191231且报告类型是季报的持债市值中，金融债券类债券市值最高。
我想知道2021年的年度报告中，个人投资者持有的份额占比超过94%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT COUNT(*) AS 数量, ROUND(SUM(个人投资者持有的基金份额), 2) AS 持有份额
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2021
AND 报告类型 = '年度报告'
AND 个人投资者持有的基金份额占总份额比例 > 94
LIMIT 1;","[{'数量': 1854, '持有份额': 1131818982590.24}]",2021年的年度报告中，个人投资者持有的份额占比超过94%的基金有1854只，并且他们总共持有了1131818982590.24份。
天弘季季兴三个月定期开放债券A基金在20210930且报告类型是季报的持债市值中，哪类债券市值最高？,"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 基金简称 = '天弘季季兴三个月定期开放债券A'
AND 持仓日期 = '20210930'
AND 报告类型 = '季报'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '中期票据'}],天弘季季兴三个月定期开放债券A基金在20210930且报告类型是季报的持债市值中，中期票据类债券市值最高。
20210517日，开盘价较上一交易日最低价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(*) AS 数量
FROM A股票日行情表 t1 JOIN A股票日行情表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = '20210517'
AND t2.交易日 = (
    SELECT MAX(交易日)
    FROM A股票日行情表
    WHERE 交易日 < '20210517'
    LIMIT 1
)
AND t1.[今开盘(元)] > t2.[最低价(元)]
LIMIT 1;",[{'数量': 3848}],20210517日，开盘价较上一交易日最低价高的股票有3848只。
请帮我查询在截止2021-09-30的报告期间，基金总份额提升的基金数量是多少？,"SELECT COUNT(*) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2021-09-30%'
AND 报告期期末基金总份额 > 报告期期初基金总份额
LIMIT 1;",[{'数量': 1753}],在截止2021-09-30的报告期间，基金总份额提升的基金数量是1753只。
请帮我查询下在2019年光大保德信基金管理有限公司成立的基金中，有多少只基金持仓过地方政府债券？,"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '光大保德信基金管理有限公司'
)
AND 持仓日期 LIKE '2019%'
AND 债券类型 = '地方政府债券'
LIMIT 1;",[{'数量': 0}],在2019年光大保德信基金管理有限公司成立的基金中，有0只基金持仓过地方政府债券。
请查询：在2020的年度报告中，个人投资者持有基金份额小于机构投资者持有基金份额的基金属于股票型类型的有几个。,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
    AND 个人投资者持有的基金份额 < 机构投资者持有的基金份额
)
AND 基金类型 = '股票型'
LIMIT 1;",[{'数量': 180}],在2020的年度报告中，个人投资者持有基金份额小于机构投资者持有基金份额的基金属于股票型类型的有180个。
帮我查一下在2020年，代码为00815的港股股票今开盘高于昨收盘的天数？,"SELECT COUNT(交易日) AS 天数
FROM 港股票日行情表
WHERE 股票代码 = '00815'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",[{'天数': 87}],在2020年，代码为00815的港股股票今开盘高于昨收盘的天数是87天。
20190102日，心脉医疗在多少只基金的前八大重仓股中？,"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20190102'
AND 股票名称 = '心脉医疗'
AND 第N大重仓股 <= 8
LIMIT 1;",[{'数量': 0}],20190102日，心脉医疗在0只基金的前八大重仓股中。
我想知道2020年的中期报告中，机构投资者持有的份额占比超过41%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT COUNT(*) AS 数量, ROUND(SUM(机构投资者持有的基金份额), 2) AS 持有份额
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2020
AND 报告类型 = '中期报告'
AND 机构投资者持有的基金份额占总份额比例 > 41
LIMIT 1;","[{'数量': 1012, '持有份额': 1501634974715.03}]",2020年的中期报告中，机构投资者持有的份额占比超过41%的基金有1012只，并且他们总共持有了1501634974715.03份。
我想知道在2021年，泰康基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额大于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '泰康基金管理有限公司'
    )
    AND 定期报告所属年度 = 2021
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 > 报告期期末基金总份额
LIMIT 1;",[{'数量': 20}],在2021年，泰康基金管理有限公司已发行的基金中，有20只基金报告期期初基金总份额大于报告期期末基金总份额。
"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,传媒一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2019%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '传媒'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) DESC
LIMIT 1;",[{'股票代码': '300805'}],"在2019年，申万行业分类行业划分标准,传媒一级行业中, 代码为300805的股票的日均收益率最高。"
在2020年的年度报告里，淳厚基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额不足机构投资者？希望得到一个精确到两位小数的百分比。,"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '淳厚基金管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 < 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",[{'比例': 38.46}],在2020年的年度报告里，淳厚基金管理有限公司管理的基金中，有38.46%的基金是个人投资者持有的份额不足机构投资者。
"帮我算一下在20190221,代码为724 HK的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND(([最高价(元)] - [最低价(元)]) / [昨收盘(元)], 3) AS 日价格振幅
FROM 港股票日行情表
WHERE 交易日 = '20190221'
AND 股票代码 = '724 HK'
LIMIT 1;",[{'日价格振幅': 0.083}],"在20190221,代码为724 HK的港股日价格振幅是0.083。"
"请帮我查询在2020年,中国国际金融股份有限公司成立哪种类型的基金个数最多?","SELECT 基金类型
FROM 基金基本信息
WHERE 成立日期 LIKE '2020%'
AND 管理人 = '中国国际金融股份有限公司'
GROUP BY 基金类型
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'基金类型': '混合型'}],"在2020年,中国国际金融股份有限公司成立混合型的基金个数最多。"
20210222日，电力设备及新能源一级行业有多少只A股股票？,"SELECT COUNT(*) AS 数量
FROM A股公司行业划分表
WHERE 交易日期 = '20210222'
AND 一级行业名称 = '电力设备及新能源'
LIMIT 1;",[{'数量': 301}],20210222日，电力设备及新能源一级行业有301只A股股票。
请帮我查询下在2020年中信建投证券股份有限公司成立的基金中，有多少只基金持仓过中期票据？,"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '中信建投证券股份有限公司'
)
AND 持仓日期 LIKE '2020%'
AND 债券类型 = '中期票据'
LIMIT 1;",[{'数量': 0}],在2020年中信建投证券股份有限公司成立的基金中，有0只基金持仓过中期票据。
"请帮我查询下在2019年, 同泰基金管理有限公司管理的债券型基金中，持有过证券公司短期公司债券的基金有多少只？","SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '同泰基金管理有限公司'
)
AND 持仓日期 LIKE '2019%'
AND 债券类型 = '证券公司短期公司债券'
LIMIT 1;",[{'数量': 0}],"在2019年, 同泰基金管理有限公司管理的债券型基金中，持有过证券公司短期公司债券的基金有0只。"
我想知道华富安鑫债券在2020年Q3的季报中，该基金的第3大重仓股的代码是什么?,"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '华富安鑫债券'
AND 持仓日期 = '20200930'
AND 报告类型 = '季报'
AND 第N大重仓股 = 3
LIMIT 1;",[{'股票代码': '000002'}],华富安鑫债券在2020年Q3的季报中，该基金的第3大重仓股的代码是000002。
在2020年12月年报(含半年报)中，东方红招盈甄选一年持有期混合C基金持有市值最多的前7只股票中，所在证券市场是法国巴黎证券交易所的有几个？,"WITH t1 AS (
    SELECT *
    FROM 基金股票持仓明细
    WHERE 持仓日期 = '20201231'
    AND 报告类型 = '年报(含半年报)'
    AND 基金简称 = '东方红招盈甄选一年持有期混合C'
    ORDER BY 市值 DESC
    LIMIT 7
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 所在证券市场 = '法国巴黎证券交易所'
LIMIT 1;",[{'数量': 0}],在2020年12月年报(含半年报)中，东方红招盈甄选一年持有期混合C基金持有市值最多的前7只股票中，所在证券市场是法国巴黎证券交易所的有0个。
请帮我计算，在20190828，中信行业分类划分的一级行业为房地产行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT t1.股票代码, ROUND((t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100, 2) AS 涨跌幅
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190828'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '房地产'
ORDER BY 涨跌幅 DESC
LIMIT 1;","[{'股票代码': '000058', '涨跌幅': 10.04}]",在20190828，中信行业分类划分的一级行业为房地产行业中，涨跌幅最大股票的股票代码是000058，涨跌幅是10.04%。
查询下基金代码008011的基金，它的管理人是？,"SELECT 管理人
FROM 基金基本信息
WHERE 基金代码 = '008011'
LIMIT 1;",[{'管理人': '新疆前海联合基金管理有限公司'}],基金代码008011的基金，它的管理人是新疆前海联合基金管理有限公司。
蜂巢基金管理有限公司2021年成立了多少基金?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '蜂巢基金管理有限公司'
AND 成立日期 LIKE '2021%'
LIMIT 1;",[{'数量': 0}],蜂巢基金管理有限公司2021年成立了0只基金。
20190612港股下跌的股票家数有多少家?,"SELECT COUNT(股票代码) AS 数量
FROM 港股票日行情表
WHERE 交易日 = '20190612'
AND [收盘价(元)] < [昨收盘(元)]
LIMIT 1;",[{'数量': 1876}],20190612港股下跌的股票家数有1876家。
请帮我查询在截止2019-06-30的基金定期报告中，基金总赎回份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2019-06-30%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总赎回份额 = 0
LIMIT 1;",[{'数量': 142}],在截止2019-06-30的基金定期报告中，基金总赎回份额为零的基金有142个。
我想知道前海开源弘泽债券C在2020年Q1的季报中，该基金的第8大重仓股的代码是什么?,"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '前海开源弘泽债券C'
AND 持仓日期 = '20200331'
AND 报告类型 = '季报'
AND 第N大重仓股 = 8
LIMIT 1;",[{'股票代码': '688039'}],前海开源弘泽债券C在2020年Q1的季报中，该基金的第8大重仓股的代码是688039。
在2021年12月年报(含半年报)中，海富通中证500指数增强C基金持有市值最多的前19只股票中，所在证券市场是中国香港证券交易所的有几个？,"WITH t1 AS (
    SELECT *
    FROM 基金股票持仓明细
    WHERE 持仓日期 = '20211231'
    AND 报告类型 = '年报(含半年报)'
    AND 基金简称 = '海富通中证500指数增强C'
    ORDER BY 市值 DESC
    LIMIT 19
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 所在证券市场 = '中国香港证券交易所'
LIMIT 1;",[{'数量': 0}],在2021年12月年报(含半年报)中，海富通中证500指数增强C基金持有市值最多的前19只股票中，所在证券市场是中国香港证券交易所的有0个。
请帮我计算：在20190423，日收益率为负的A股股票有几个。,"SELECT COUNT(股票代码) AS 数量
FROM A股票日行情表
WHERE 交易日 = '20190423'
AND [收盘价(元)] < [昨收盘(元)]
LIMIT 1;",[{'数量': 2809}],在20190423，日收益率为负的A股股票有2809个。
请列出中信建投基金管理有限公司在2020年成立并且托管人为中信银行股份有限公司的所有基金的基金管理费率的平均数。,"SELECT AVG(管理费率) AS 平均管理费率
FROM 基金基本信息
WHERE 管理人 = '中信建投基金管理有限公司'
AND 托管人 = '中信银行股份有限公司'
AND 成立日期 LIKE '2020%'
LIMIT 1;",[{'平均管理费率': 0.5}],中信建投基金管理有限公司在2020年成立并且托管人为中信银行股份有限公司的所有基金的基金管理费率的平均数是0.5%。
我想知道在2019年，博远基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额大于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '博远基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 > 报告期期末基金总份额
LIMIT 1;",[{'数量': 0}],在2019年，博远基金管理有限公司已发行的基金中，有0只基金报告期期初基金总份额大于报告期期末基金总份额。
嘉合基金管理有限公司管理的混合型产品的数量有多少?,"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '嘉合基金管理有限公司'
AND 基金类型 = '混合型'
LIMIT 1;",[{'数量': 11}],嘉合基金管理有限公司管理的混合型产品的数量11个。
我想知道中银恒优12个月持有期债券A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '中银恒优12个月持有期债券A'
AND t1.持仓日期 = '20211231'
AND t1.报告类型 = '年报(含半年报)'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '有色金属'}],中银恒优12个月持有期债券A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是申万一级行业划分标准下的有色金属行业。
20211030日，建筑一级行业有多少只A股股票？,"SELECT COUNT(*) AS 数量
FROM A股公司行业划分表
WHERE 交易日期 = '20211030'
AND 一级行业名称 = '建筑'
LIMIT 1;",[{'数量': 160}],20211030日，建筑一级行业有160只A股股票。
请列出安信基金管理有限责任公司在2019年成立并且托管人为中国农业银行股份有限公司的所有基金的基金管理费率的平均数。,"SELECT AVG(管理费率) AS 平均管理费率
FROM 基金基本信息
WHERE 管理人 = '安信基金管理有限责任公司'
AND 托管人 = '中国农业银行股份有限公司'
AND 成立日期 LIKE '2019%'
LIMIT 1;",[{'平均管理费率': 0.85}],安信基金管理有限责任公司在2019年成立并且托管人为中国农业银行股份有限公司的所有基金的基金管理费率的平均数是0.85%。
我想知道安信民稳增长混合A基金，在2019年年度报告中，前8大重仓股中，有多少只股票在报告期内取得正收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '安信民稳增长混合A'
        AND 持仓日期 = '20191231'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 8
    )
    AND 交易日 BETWEEN '20190101' AND '20191231'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",[{'数量': 0}],安信民稳增长混合A基金，在2019年年度报告中，前8大重仓股中，有0只股票在报告期内取得正收益。
在2021年的中期报告里，嘉实基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额不足机构投资者？希望得到一个精确到两位小数的百分比。,"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '嘉实基金管理有限公司'
    )
    AND 定期报告所属年度 = 2021
    AND 报告类型 = '中期报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 < 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",[{'比例': 34.0}],在2021年的中期报告里，嘉实基金管理有限公司管理的基金中，有34.00%的基金是个人投资者持有的份额不足机构投资者。
请问股票代码为300209的股票在2020年内日成交量高于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '300209'
    AND 交易日 LIKE '2020%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] > (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 79}],股票代码为300209的股票在2020年内日成交量高于该股票当年平均日成交量的有79个交易日。
请查询在20201201日期，中信行业分类下农林牧渔一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20201201'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '农林牧渔'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",[{'股票代码': '002891'}],在20201201日期，中信行业分类下农林牧渔一级行业中，当日收盘价波动最大的股票代码是002891。
"请帮我查询在2020年,东方阿尔法基金管理有限公司成立哪种类型的基金个数最多?","SELECT 基金类型
FROM 基金基本信息
WHERE 成立日期 LIKE '2020%'
AND 管理人 = '东方阿尔法基金管理有限公司'
GROUP BY 基金类型
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'基金类型': '混合型'}],"在2020年,东方阿尔法基金管理有限公司成立混合型的基金个数最多。"
